"period","respondent","respondent-name","fueltype","type-name","value","value-units"
"2026-09-12T04","CISO","California Independent System Operator","SUN","Solar","-64","megawatthours"
"2026-09-12T04","CISO","California Independent System Operator","WAT","Hydro","3118","megawatthours"
"2026-09-12T04","CISO","California Independent System Operator","WND","Wind","5217","megawatthours"
"2026-09-12T03","CISO","California Independent System Operator","GEO","Geothermal","796","megawatthours"
"2026-09-12T03","CISO","California Independent System Operator","SUN","Solar","-53","megawatthours"
"2026-09-12T03","CISO","California Independent System Operator","WAT","Hydro","3324","megawatthours"
"2026-09-12T03","CISO","California Independent System Operator","WND","Wind","4974","megawatthours"
"2026-09-12T02","CISO","California Independent System Operator","GEO","Geothermal","807","megawatthours"
"2026-09-12T02","CISO","California Independent System Operator","SUN","Solar","2735","megawatthours"
"2026-09-12T02","CISO","California Independent System Operator","WAT","Hydro","3342","megawatthours"
"2026-09-12T02","CISO","California Independent System Operator","WND","Wind","4820","megawatthours"
"2026-09-12T01","CISO","California Independent System Operator","GEO","Geothermal","781","megawatthours"
"2026-09-12T01","CISO","California Independent System Operator","SUN","Solar","11928","megawatthours"
"2026-09-12T01","CISO","California Independent System Operator","WAT","Hydro","2931","megawatthours"
"2026-09-12T01","CISO","California Independent System Operator","WND","Wind","5075","megawatthours"
"2026-09-12T00","CISO","California Independent System Operator","GEO","Geothermal","796","megawatthours"
"2026-09-12T00","CISO","California Independent System Operator","SUN","Solar","17069","megawatthours"
"2026-09-12T00","CISO","California Independent System Operator","WAT","Hydro","2106","megawatthours"
"2026-09-12T00","CISO","California Independent System Operator","WND","Wind","5179","megawatthours"
"2026-09-11T23","CISO","California Independent System Operator","GEO","Geothermal","789","megawatthours"
"2026-09-11T23","CISO","California Independent System Operator","SUN","Solar","18902","megawatthours"
"2026-09-11T23","CISO","California Independent System Operator","WAT","Hydro","1647","megawatthours"
"2026-09-11T23","CISO","California Independent System Operator","WND","Wind","5390","megawatthours"
"2026-09-11T22","CISO","California Independent System Operator","GEO","Geothermal","780","megawatthours"
"2026-09-11T22","CISO","California Independent System Operator","SUN","Solar","19685","megawatthours"
"2026-09-11T22","CISO","California Independent System Operator","WAT","Hydro","1205","megawatthours"
"2026-09-11T22","CISO","California Independent System Operator","WND","Wind","5297","megawatthours"
"2026-09-11T21","CISO","California Independent System Operator","GEO","Geothermal","769","megawatthours"
"2026-09-11T21","CISO","California Independent System Operator","SUN","Solar","20066","megawatthours"
