"period","respondent","respondent-name","fueltype","type-name","value","value-units","type"
"2026-09-03T10","US48","United States Lower 48",NA,"Demand","499254","megawatthours","D"
"2026-09-03T09","US48","United States Lower 48",NA,"Demand","498012","megawatthours","D"
"2026-09-03T08","US48","United States Lower 48",NA,"Demand","505780","megawatthours","D"
"2026-09-03T07","US48","United States Lower 48",NA,"Demand","522746","megawatthours","D"
"2026-09-03T06","US48","United States Lower 48",NA,"Demand","545694","megawatthours","D"
"2026-09-03T05","US48","United States Lower 48",NA,"Demand","573287","megawatthours","D"
"2026-09-03T04","US48","United States Lower 48",NA,"Demand","605390","megawatthours","D"
"2026-09-03T03","US48","United States Lower 48",NA,"Demand","639764","megawatthours","D"
"2026-09-03T02","US48","United States Lower 48",NA,"Demand","671614","megawatthours","D"
"2026-09-03T01","US48","United States Lower 48",NA,"Demand","699236","megawatthours","D"
"2026-09-03T00","US48","United States Lower 48",NA,"Demand","716664","megawatthours","D"
"2026-09-02T23","US48","United States Lower 48",NA,"Demand","728859","megawatthours","D"
"2026-09-02T22","US48","United States Lower 48",NA,"Demand","731384","megawatthours","D"
"2026-09-02T21","US48","United States Lower 48",NA,"Demand","727327","megawatthours","D"
"2026-09-02T20","US48","United States Lower 48",NA,"Demand","718608","megawatthours","D"
"2026-09-02T19","US48","United States Lower 48",NA,"Demand","707067","megawatthours","D"
"2026-09-02T18","US48","United States Lower 48",NA,"Demand","689434","megawatthours","D"
"2026-09-02T17","US48","United States Lower 48",NA,"Demand","661612","megawatthours","D"
"2026-09-02T16","US48","United States Lower 48",NA,"Demand","628963","megawatthours","D"
"2026-09-02T15","US48","United States Lower 48",NA,"Demand","593461","megawatthours","D"
"2026-09-02T14","US48","United States Lower 48",NA,"Demand","562136","megawatthours","D"
"2026-09-02T13","US48","United States Lower 48",NA,"Demand","537287","megawatthours","D"
"2026-09-02T12","US48","United States Lower 48",NA,"Demand","521382","megawatthours","D"
"2026-09-02T11","US48","United States Lower 48",NA,"Demand","507345","megawatthours","D"
"2026-09-02T10","US48","United States Lower 48",NA,"Demand","494751","megawatthours","D"
"2026-09-02T09","US48","United States Lower 48",NA,"Demand","492600","megawatthours","D"
"2026-09-02T08","US48","United States Lower 48",NA,"Demand","501998","megawatthours","D"
"2026-09-02T07","US48","United States Lower 48",NA,"Demand","518597","megawatthours","D"
"2026-09-02T06","US48","United States Lower 48",NA,"Demand","542795","megawatthours","D"
"2026-09-02T05","US48","United States Lower 48",NA,"Demand","571565","megawatthours","D"
"2026-09-02T04","US48","United States Lower 48",NA,"Demand","604424","megawatthours","D"
"2026-09-02T03","US48","United States Lower 48",NA,"Demand","640091","megawatthours","D"
"2026-09-02T02","US48","United States Lower 48",NA,"Demand","674400","megawatthours","D"
"2026-09-02T01","US48","United States Lower 48",NA,"Demand","700531","megawatthours","D"
"2026-09-02T00","US48","United States Lower 48",NA,"Demand","718859","megawatthours","D"
"2026-09-01T23","US48","United States Lower 48",NA,"Demand","730864","megawatthours","D"
"2026-09-01T22","US48","United States Lower 48",NA,"Demand","735109","megawatthours","D"
"2026-09-01T21","US48","United States Lower 48",NA,"Demand","730659","megawatthours","D"
"2026-09-01T20","US48","United States Lower 48",NA,"Demand","720502","megawatthours","D"
"2026-09-01T19","US48","United States Lower 48",NA,"Demand","705368","megawatthours","D"
"2026-09-01T18","US48","United States Lower 48",NA,"Demand","686121","megawatthours","D"
"2026-09-01T17","US48","United States Lower 48",NA,"Demand","659579","megawatthours","D"
"2026-09-01T16","US48","United States Lower 48",NA,"Demand","625621","megawatthours","D"
"2026-09-01T15","US48","United States Lower 48",NA,"Demand","590218","megawatthours","D"
"2026-09-01T14","US48","United States Lower 48",NA,"Demand","557598","megawatthours","D"
"2026-09-01T13","US48","United States Lower 48",NA,"Demand","533305","megawatthours","D"
"2026-09-01T12","US48","United States Lower 48",NA,"Demand","517608","megawatthours","D"
"2026-09-01T11","US48","United States Lower 48",NA,"Demand","502244","megawatthours","D"
"2026-09-01T10","US48","United States Lower 48",NA,"Demand","486542","megawatthours","D"
"2026-09-01T09","US48","United States Lower 48",NA,"Demand","482208","megawatthours","D"
"2026-09-01T08","US48","United States Lower 48",NA,"Demand","491154","megawatthours","D"
"2026-09-01T07","US48","United States Lower 48",NA,"Demand","507300","megawatthours","D"
"2026-09-01T06","US48","United States Lower 48",NA,"Demand","530463","megawatthours","D"
"2026-09-01T05","US48","United States Lower 48",NA,"Demand","558152","megawatthours","D"
"2026-09-01T04","US48","United States Lower 48",NA,"Demand","590115","megawatthours","D"
"2026-09-01T03","US48","United States Lower 48",NA,"Demand","626490","megawatthours","D"
"2026-09-01T02","US48","United States Lower 48",NA,"Demand","656447","megawatthours","D"
"2026-09-01T01","US48","United States Lower 48",NA,"Demand","687201","megawatthours","D"
"2026-09-01T00","US48","United States Lower 48",NA,"Demand","703582","megawatthours","D"
"2026-08-31T23","US48","United States Lower 48",NA,"Demand","714824","megawatthours","D"
"2026-08-31T22","US48","United States Lower 48",NA,"Demand","718974","megawatthours","D"
"2026-08-31T21","US48","United States Lower 48",NA,"Demand","714006","megawatthours","D"
"2026-08-31T20","US48","United States Lower 48",NA,"Demand","704720","megawatthours","D"
"2026-08-31T19","US48","United States Lower 48",NA,"Demand","691485","megawatthours","D"
"2026-08-31T18","US48","United States Lower 48",NA,"Demand","669186","megawatthours","D"
"2026-08-31T17","US48","United States Lower 48",NA,"Demand","640617","megawatthours","D"
"2026-08-31T16","US48","United States Lower 48",NA,"Demand","606321","megawatthours","D"
