"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","ENC","East North Central","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ENC","East North Central","RES","residential","21031666","19.81","3178.65646","16045.01781","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ENC","East North Central","TRA","transportation","10","11.2","4.51359","40.29641","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ESC","East South Central","ALL","all sectors","10565153","12.21","3458.34625","28329.05965","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ESC","East South Central","COM","commercial","1535472","13.76","1168.94945","8494.29503","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ESC","East South Central","IND","industrial","25566","7.51","676.75772","9007.40892","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ESC","East South Central","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ESC","East South Central","RES","residential","9004115","14.89","1612.63908","10827.35569","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ESC","East South Central","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","FL","Florida","ALL","all sectors","12149725","13.38","3314.4505","24780.51267","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","FL","Florida","COM","commercial","1339899","11.47","1077.59146","9392.35072","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","FL","Florida","IND","industrial","24576","9.12","131.38683","1440.35479","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","FL","Florida","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","FL","Florida","RES","residential","10785248","15.1","2104.77733","13941.77983","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","FL","Florida","TRA","transportation","2","11.53",".69489","6.02733","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","GA","Georgia","ALL","all sectors","5569303","13.08","1895.40019","14486.48279","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","GA","Georgia","COM","commercial","632410","11.91","660.57768","5547.27536","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","GA","Georgia","IND","industrial","22837","8.86","267.99105","3023.08334","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
