"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-Q2","ESC","East South Central","IND","industrial","25449","7.4","1964.41233","26559.44133","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ESC","East South Central","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ESC","East South Central","RES","residential","8988384","15.37","4109.59441","26745.68529","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ESC","East South Central","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","FL","Florida","ALL","all sectors","12134467","13.34","8882.39734","66592.42644","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","FL","Florida","COM","commercial","1338753","11.51","3044.63901","26461.55704","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","FL","Florida","IND","industrial","24662","9.11","391.34242","4295.61829","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","FL","Florida","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","FL","Florida","RES","residential","10771051","15.2","5444.31879","35816.74251","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","FL","Florida","TRA","transportation","2","11.33","2.09714","18.50859","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","GA","Georgia","ALL","all sectors","5561980","12.19","4647.42316","38121.83047","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","GA","Georgia","COM","commercial","631921","11.15","1699.1857","15232.84367","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","GA","Georgia","IND","industrial","22801","7.63","638.42105","8363.31077","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","GA","Georgia","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","GA","Georgia","RES","residential","4907258","15.93","2307.26655","14486.62885","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","GA","Georgia","TRA","transportation","1","6.53","2.54988","39.04718","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","HI","Hawaii","ALL","all sectors","512218","45.37","996.23685","2195.707","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","HI","Hawaii","COM","commercial","60061","45.81","307.93348","672.23193","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","HI","Hawaii","IND","industrial","873","41.26","360.66212","874.18306","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","HI","Hawaii","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","HI","Hawaii","RES","residential","451284","50.46","327.64128","649.29201","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","HI","Hawaii","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IA","Iowa","ALL","all sectors","1750105","9.76","1423.44194","14577.52019","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IA","Iowa","COM","commercial","256066","11.27","360.33311","3197.62187","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IA","Iowa","IND","industrial","9513","7.14","577.94086","8090.32407","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IA","Iowa","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IA","Iowa","RES","residential","1484527","14.75","485.16799","3289.57424","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IA","Iowa","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ID","Idaho","ALL","all sectors","1062715","10.19","696.99185","6838.27486","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ID","Idaho","COM","commercial","127893","9.71","168.98141","1740.00955","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ID","Idaho","IND","industrial","30012","8.42","253.82168","3014.76744","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ID","Idaho","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ID","Idaho","RES","residential","904810","13.16","274.18875","2083.49789","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","ID","Idaho","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IL","Illinois","ALL","all sectors","6066401","15.08","4730.18407","31363.14783","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IL","Illinois","COM","commercial","645026","14.57","1580.52909","10845.38979","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IL","Illinois","IND","industrial","5575","10.2","1104.07968","10823.86766","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IL","Illinois","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IL","Illinois","RES","residential","5415797","21.21","2033.9488","9587.53866","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IL","Illinois","TRA","transportation","3","10.93","11.6265","106.35171","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IN","Indiana","ALL","all sectors","3431906","12.81","3236.1035","25253.03558","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IN","Indiana","COM","commercial","377698","13.94","956.041","6855.94385","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IN","Indiana","IND","industrial","19245","8.98","1014.77207","11294.26062","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IN","Indiana","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IN","Indiana","RES","residential","3034963","17.82","1264.61645","7097.52289","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","IN","Indiana","TRA","transportation","1","12.7",".67399","5.30822","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KS","Kansas","ALL","all sectors","1633482","11.91","1238.43951","10401.41986","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KS","Kansas","COM","commercial","251698","11.65","482.21287","4139.73025","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KS","Kansas","IND","industrial","23994","8.18","241.25787","2949.31881","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KS","Kansas","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KS","Kansas","RES","residential","1357790","15.55","514.96877","3312.3708","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KS","Kansas","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KY","Kentucky","ALL","all sectors","2363283","11.18","1981.85311","17728.45752","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KY","Kentucky","COM","commercial","329604","12.82","642.12376","5007.11772","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KY","Kentucky","IND","industrial","4690","7.19","507.99479","7062.93551","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KY","Kentucky","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KY","Kentucky","RES","residential","2028989","14.7","831.73456","5658.4043","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","KY","Kentucky","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","LA","Louisiana","ALL","all sectors","2499703","10.2","2478.34882","24301.89084","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","LA","Louisiana","COM","commercial","304787","11.96","701.21699","5865.06381","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","LA","Louisiana","IND","industrial","16498","6.91","780.3046","11293.65696","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","LA","Louisiana","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","LA","Louisiana","RES","residential","2178417","13.96","996.55784","7140.87286","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
